epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,14011,0.59404,0.60369,1.14213,0.86294,0.85943,0.91584,0.80513,0.54724,0.65825,1.0834,0.000298087,0.000298087,0.000298087
97,14146,0.5928,0.5978,1.13667,0.86876,0.85441,0.9124,0.8014,0.5486,0.65695,1.08413,0.000295306,0.000295306,0.000295306
98,14279.9,0.58586,0.60353,1.13524,0.86853,0.85428,0.91311,0.80297,0.54932,0.65697,1.08516,0.000292513,0.000292513,0.000292513
99,14413.4,0.59016,0.59895,1.13517,0.87229,0.85038,0.91294,0.8042,0.54669,0.66145,1.08238,0.000289709,0.000289709,0.000289709
100,14547.8,0.59143,0.59335,1.13861,0.88071,0.84675,0.91353,0.80416,0.5478,0.66148,1.08432,0.000286894,0.000286894,0.000286894
101,14681.5,0.58659,0.59955,1.13757,0.86461,0.8547,0.91162,0.80211,0.54639,0.66628,1.08315,0.000284068,0.000284068,0.000284068
102,14814.8,0.58226,0.59563,1.13606,0.86918,0.85243,0.91138,0.80272,0.54691,0.66812,1.08269,0.000281233,0.000281233,0.000281233
103,14952.1,0.59087,0.58936,1.13278,0.86205,0.86154,0.91354,0.80496,0.54497,0.66306,1.08228,0.000278388,0.000278388,0.000278388
104,15091.8,0.5916,0.59676,1.13896,0.88043,0.83995,0.91421,0.80603,0.54565,0.65484,1.08254,0.000275534,0.000275534,0.000275534
105,15229.2,0.58739,0.58291,1.13162,0.84981,0.86458,0.9154,0.80608,0.5449,0.65782,1.08148,0.000272671,0.000272671,0.000272671
106,15365.9,0.58732,0.59798,1.13473,0.86797,0.84811,0.91498,0.80556,0.54519,0.66074,1.08028,0.000269801,0.000269801,0.000269801
107,15502.4,0.58362,0.58778,1.13133,0.86166,0.85396,0.91506,0.80585,0.54564,0.6631,1.08146,0.000266923,0.000266923,0.000266923
108,15639.3,0.58025,0.58893,1.12977,0.8594,0.85136,0.91478,0.80623,0.54466,0.66428,1.08122,0.000264038,0.000264038,0.000264038
109,15776.1,0.57809,0.5749,1.12834,0.86321,0.84679,0.91408,0.80527,0.54405,0.66143,1.08135,0.000261147,0.000261147,0.000261147
110,15915,0.58423,0.58637,1.13183,0.86576,0.84343,0.91561,0.80436,0.5453,0.65883,1.08325,0.000258249,0.000258249,0.000258249
111,16051.9,0.57277,0.5665,1.12206,0.87372,0.84066,0.9148,0.80514,0.54619,0.6602,1.08334,0.000255347,0.000255347,0.000255347
112,16188.2,0.57803,0.57521,1.13033,0.88085,0.83492,0.91426,0.8059,0.54723,0.662,1.08454,0.000252439,0.000252439,0.000252439
113,16323.7,0.57356,0.56977,1.11798,0.88334,0.8292,0.91522,0.80574,0.5479,0.65918,1.08449,0.000249526,0.000249526,0.000249526
114,16461.9,0.56712,0.55826,1.11997,0.8889,0.82741,0.91618,0.80596,0.5481,0.66039,1.0849,0.00024661,0.00024661,0.00024661
115,16600,0.57602,0.5645,1.12241,0.8892,0.82989,0.9155,0.80513,0.54925,0.66163,1.08655,0.00024369,0.00024369,0.00024369
116,16739.1,0.56876,0.57331,1.12399,0.88206,0.82959,0.91489,0.80415,0.54948,0.66147,1.08848,0.000240767,0.000240767,0.000240767
117,16874.4,0.5669,0.5594,1.11747,0.85295,0.85893,0.9153,0.80542,0.5489,0.66302,1.08848,0.000237842,0.000237842,0.000237842
118,17009.5,0.56012,0.56125,1.11708,0.85287,0.85833,0.91521,0.8051,0.54918,0.66408,1.08875,0.000234914,0.000234914,0.000234914
119,17143.8,0.56146,0.55652,1.11277,0.86822,0.84591,0.91548,0.80643,0.54889,0.66419,1.08786,0.000231985,0.000231985,0.000231985
120,17278.3,0.56348,0.56539,1.11731,0.85109,0.86419,0.91629,0.80692,0.54804,0.66366,1.08756,0.000229055,0.000229055,0.000229055
121,17412.8,0.55424,0.5567,1.10892,0.86739,0.84803,0.91732,0.80769,0.54875,0.66165,1.08917,0.000226125,0.000226125,0.000226125
122,17553.4,0.56816,0.55827,1.1221,0.8694,0.84703,0.91827,0.8083,0.54814,0.66015,1.08841,0.000223195,0.000223195,0.000223195
123,17690.2,0.56349,0.55702,1.11827,0.87094,0.8457,0.9187,0.81011,0.54848,0.65882,1.08906,0.000220265,0.000220265,0.000220265
124,17827.4,0.55688,0.54718,1.11032,0.8723,0.84923,0.91836,0.80949,0.54834,0.65893,1.08855,0.000217336,0.000217336,0.000217336
125,17964.8,0.55814,0.54934,1.11224,0.8733,0.85066,0.91818,0.80983,0.54773,0.6596,1.08795,0.000214408,0.000214408,0.000214408
126,18102.4,0.55598,0.54131,1.11212,0.87527,0.84927,0.91761,0.80937,0.54729,0.65834,1.0876,0.000211483,0.000211483,0.000211483
