epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3393.04,0.76683,0.82514,1.26353,0.83343,0.77951,0.82774,0.62956,0.85311,1.05145,1.41745,0.000490454,0.000490454,0.000490454
64,3444.51,0.75568,0.84157,1.25311,0.78107,0.7636,0.81761,0.62527,0.82622,1.12734,1.3775,0.000487135,0.000487135,0.000487135
65,3484.87,0.74758,0.81951,1.24798,0.80998,0.77211,0.81288,0.60934,0.86152,1.19787,1.41324,0.000483778,0.000483778,0.000483778
66,3520.77,0.77157,0.85167,1.2458,0.79098,0.72614,0.79768,0.60854,0.80751,1.07369,1.37459,0.000480384,0.000480384,0.000480384
67,3569.18,0.73131,0.80276,1.23198,0.84989,0.76531,0.82872,0.64202,0.82913,1.16047,1.39221,0.000476954,0.000476954,0.000476954
68,3607.03,0.73365,0.81545,1.22328,0.79766,0.76135,0.82225,0.64245,0.79373,1.04731,1.38946,0.000473488,0.000473488,0.000473488
69,3660.07,0.73239,0.79877,1.22668,0.80408,0.76387,0.80386,0.63466,0.79513,1.22931,1.34921,0.000469986,0.000469986,0.000469986
70,3712.91,0.73802,0.81836,1.22837,0.8024,0.7275,0.81206,0.6317,0.86639,1.17825,1.42528,0.000466451,0.000466451,0.000466451
71,3771.21,0.73201,0.82265,1.23155,0.87022,0.75702,0.84361,0.65515,0.8207,0.9915,1.40953,0.000462881,0.000462881,0.000462881
72,3834.76,0.74668,0.83059,1.23354,0.83111,0.77647,0.83013,0.64444,0.81394,0.95071,1.38839,0.000459279,0.000459279,0.000459279
73,3886.17,0.74716,0.78781,1.23553,0.80802,0.73775,0.8076,0.63486,0.79779,1.0134,1.38032,0.000455645,0.000455645,0.000455645
74,3932.91,0.73732,0.80849,1.22658,0.7705,0.79888,0.8351,0.6486,0.87279,1.04128,1.44511,0.000451979,0.000451979,0.000451979
75,3992.58,0.75048,0.85976,1.24101,0.826,0.74882,0.80921,0.63201,0.83304,1.09377,1.4291,0.000448282,0.000448282,0.000448282
76,4058.38,0.74063,0.83162,1.21918,0.82943,0.75853,0.82721,0.64338,0.80974,1.08736,1.39689,0.000444556,0.000444556,0.000444556
77,4105.18,0.7209,0.77774,1.2198,0.82054,0.74714,0.81056,0.64357,0.75048,1.05483,1.33543,0.0004408,0.0004408,0.0004408
78,4157.59,0.71799,0.76079,1.21014,0.80861,0.7556,0.81252,0.63351,0.8553,1.04211,1.41763,0.000437016,0.000437016,0.000437016
79,4205.47,0.71192,0.74523,1.21138,0.8099,0.76797,0.81944,0.63469,0.84873,0.9897,1.414,0.000433204,0.000433204,0.000433204
80,4247.92,0.71145,0.75114,1.22283,0.83303,0.75996,0.82393,0.64052,0.82125,1.06298,1.37007,0.000429366,0.000429366,0.000429366
81,4287.78,0.7298,0.78513,1.23415,0.82056,0.76583,0.82707,0.66793,0.74754,0.96849,1.31116,0.000425501,0.000425501,0.000425501
82,4331.82,0.72991,0.77039,1.23457,0.79494,0.76362,0.83469,0.65654,0.7921,0.97587,1.32702,0.000421612,0.000421612,0.000421612
83,4371.42,0.71105,0.76154,1.21644,0.84096,0.75336,0.83636,0.66376,0.80409,1.00185,1.34467,0.000417697,0.000417697,0.000417697
84,4410.8,0.71804,0.75464,1.21457,0.83758,0.7246,0.82495,0.64532,0.8083,1.03276,1.37033,0.000413759,0.000413759,0.000413759
85,4459.88,0.71837,0.74419,1.21732,0.79593,0.75994,0.82337,0.65346,0.76023,1.0502,1.30768,0.000409798,0.000409798,0.000409798
86,4501.86,0.70493,0.77151,1.21113,0.83364,0.75647,0.82654,0.64334,0.83399,1.05919,1.39799,0.000405815,0.000405815,0.000405815
87,4540.91,0.70602,0.75982,1.20482,0.84475,0.75242,0.83189,0.65007,0.81703,1.05562,1.39413,0.000401811,0.000401811,0.000401811
88,4596.19,0.71738,0.76322,1.20535,0.84804,0.72184,0.8156,0.63563,0.79501,1.08215,1.36166,0.000397786,0.000397786,0.000397786
89,4634.55,0.71806,0.75069,1.22236,0.84499,0.75032,0.83387,0.65123,0.79635,0.93581,1.34553,0.000393742,0.000393742,0.000393742
90,4667.51,0.68965,0.72079,1.19678,0.81686,0.76209,0.83228,0.66837,0.75517,1.07852,1.32438,0.000389678,0.000389678,0.000389678
